trade_date,ts_code,TOS,INTER,GFP,PIS,NEXP,FISCAL,M2,category,month,week,category_id
2012-11-30,通用设备制造业,6.26859990745044,6.2495484556099,21.2700498068528,18.7347968095224,-973.528880914965,11.4816840310266,14.5010625095412,工业,11,48,0
2012-12-31,通用设备制造业,5.27005085298813,5.16309824052537,18.3509277117931,18.4227358039733,5620.47061478761,10.7793053586397,14.8538435974972,工业,12,1,0
2013-01-31,通用设备制造业,3.96146842712501,3.74654435160602,15.5356051609677,17.1181383879329,474.109794842551,10.0525488145664,15.253902876019,工业,1,5,0
2013-02-28,通用设备制造业,2.62592591424684,2.32120355929097,12.800924764402,14.7851437999896,185.201942091729,9.33420629730295,15.5828273459137,工业,2,9,0
2013-03-31,通用设备制造业,2.0440077303207,1.66031412329704,10.4250563893691,12.2253213345067,91.726882135755,8.65366487696868,15.7480934514865,工业,3,13,0
2013-04-30,通用设备制造业,2.26029130390954,1.82606549492608,8.36113017908207,10.6977240153445,50.9131835678563,8.15521689314256,15.7004676200776,工业,4,18,0
2013-05-31,通用设备制造业,2.61359282729553,2.17669640484299,6.52407151021008,10.9075431381671,32.2706927363989,8.08651944543972,15.4496472614932,工业,5,22,0
2013-06-30,通用设备制造业,2.61614868014769,2.18526560209815,4.93397209852664,12.5358478536034,26.5804639033034,8.44082614268518,15.1184736259803,工业,6,26,0
2013-07-31,通用设备制造业,2.27769158620127,1.82423692327505,3.71820458197334,14.78023671994,29.2687924104252,9.12673841034602,14.7998060089302,工业,7,31,0
2013-08-31,通用设备制造业,1.91256752323987,1.41860910944793,2.81860095161717,16.7677054759417,34.6569561588074,10.1018720639761,14.5062294472055,工业,8,35,0
2013-09-30,通用设备制造业,1.92310589653812,1.41001871976372,2.22890708628485,17.2235598970016,36.8656146668901,11.3475655930844,14.2396872781401,工业,9,40,0
2013-10-31,通用设备制造业,2.40502605442479,1.88528110318975,2.00433183322508,15.586452818939,33.4540557646394,12.7753556996663,14.0153389274659,工业,10,44,0
2013-11-30,通用设备制造业,3.11660548042086,2.59764555881126,1.87400706420644,12.4984339845916,26.866893417487,14.2994314985972,13.8022143949593,工业,11,48,0
2013-12-31,通用设备制造业,3.73947920449784,3.22825357999696,1.82306055359729,9.00144283260564,20.1559817526051,15.7076965004698,13.5910134854131,工业,12,1,0
2014-01-31,通用设备制造业,4.2455156741438,3.74542261311477,1.83383907313603,6.52170015588682,16.2083760579532,16.7750980386248,13.4199838729332,工业,1,5,0
2014-02-28,通用设备制造业,4.66374759176941,4.17502523109299,2.00255252758115,5.65723582255186,16.2914861334979,17.2808155524813,13.3565232135826,工业,2,9,0
2014-03-31,通用设备制造业,4.6503815047041,4.19707820152022,2.11284214460936,6.09972542258859,19.7506223688171,17.120402917345,13.3763261020957,工业,3,14,0
2014-04-30,通用设备制造业,4.36785698849226,3.94061979957878,1.89997624365079,6.72137900818393,24.7779088760353,16.3104758871797,13.4266260812628,工业,4,18,0
2014-05-31,通用设备制造业,4.06055060067008,3.63426287708191,1.40624620468448,6.75015609475913,29.2393903433837,14.9066201213204,13.458044442461,工业,5,22,0
2014-06-30,通用设备制造业,3.93353924820336,3.48701427807954,0.912615927989369,5.95905458681425,29.8681960741842,13.1994345772641,13.4127444207507,工业,6,27,0
2014-07-31,通用设备制造业,3.87528810294899,3.42475754485647,0.662810472343667,4.59368010566024,25.8049049086966,11.4168383332009,13.2767623629548,工业,7,31,0
2014-08-31,通用设备制造业,3.50809413370627,3.06793922715707,0.763967758556294,3.06002219637043,19.5845346611802,9.62901083715563,13.0643621159965,工业,8,35,0
2014-09-30,通用设备制造业,2.61285082643047,2.18238541193463,1.09290097734425,1.87800666402984,13.8727495927345,7.90941864725229,12.7928014611214,工业,9,40,0
2014-10-31,通用设备制造业,1.39056288854161,0.964779346725386,1.395402311127,1.32817851506153,9.99011348306069,6.38352920909028,12.4877480466704,工业,10,44,0
2014-11-30,通用设备制造业,0.373701211013554,-0.0519268421941721,1.79557615477559,1.28309349864071,7.36493731508696,5.19693337571678,12.198848212189,工业,11,48,0
2014-12-31,通用设备制造业,-0.174692050311194,-0.597669487011709,2.2864208858749,1.61677610829611,5.32182624604156,4.56949414455128,11.9359658633482,工业,12,1,0
2015-01-31,通用设备制造业,-0.550445357263769,-0.962266688312385,2.87029339814651,1.94624244505799,2.971300286963,4.74721542354131,11.6912847192648,工业,1,5,0
2015-02-28,通用设备制造业,-0.932548000667822,-1.33073566356615,3.76678604314704,1.9995687804057,-0.177837872352815,5.87023574522456,11.4829497018525,工业,2,9,0
2015-03-31,通用设备制造业,-1.38025654624148,-1.78043494857328,4.98254713942015,2.02983006655213,-4.58598581671162,7.93046664116389,11.3746362029866,工业,3,14,0
2015-04-30,通用设备制造业,-1.79110536996936,-2.18736676440591,6.39547078005271,2.20459698484434,-8.76351248062551,10.6713979841256,11.424382447798,工业,4,18,0
2015-05-31,通用设备制造业,-1.97196341902638,-2.35254747014578,7.61348058477818,2.63382526550942,-10.9846465382442,13.7378835924065,11.6412248443098,工业,5,22,0
2015-06-30,通用设备制造业,-2.02187702531094,-2.37350543967426,8.37614447842561,3.12891015713401,-11.1122335506356,16.6171634800703,12.006435945011,工业,6,27,0
2015-07-31,通用设备制造业,-2.18729606399805,-2.52288878699081,8.56341273998298,3.55978310069702,-9.87994054815646,18.9559033786787,12.4356934277613,工业,7,31,0
2015-08-31,通用设备制造业,-2.56627288165232,-2.91017839955764,8.45455674330735,3.81652116662243,-8.30212182569961,20.5897683603026,12.8492091728075,工业,8,36,0
2015-09-30,通用设备制造业,-2.88150829846509,-3.24799979232678,8.21757780700263,4.00384816308017,-7.39266770300253,21.4037933757236,13.1914118426545,工业,9,40,0
2015-10-31,通用设备制造业,-2.87982452562244,-3.26159351393058,7.65641783181985,4.1812544157986,-7.0979959848685,21.362673102821,13.4294367000447,工业,10,44,0
2015-11-30,通用设备制造业,-2.60264219474189,-2.98182488595307,6.25292732079341,4.4453574046319,-6.19155812860339,20.6165776438792,13.5712293722131,工业,11,49,0
2015-12-31,通用设备制造业,-2.09492401342911,-2.46673570331659,3.6188417547149,5.02950323906133,-4.13972702229175,19.2204902107057,13.623033570725,工业,12,53,0
2016-01-31,通用设备制造业,-1.49330668789148,-1.87668483865627,-0.0362524850783363,5.6780613113226,-0.890718419502867,17.4164024664491,13.5835009072674,工业,1,4,0
2016-02-29,通用设备制造业,-1.05276433811355,-1.45201955892792,-4.21904554431232,5.64991508043289,3.16349501250481,15.4070742836916,13.4178359675962,工业,2,9,0
2016-03-31,通用设备制造业,-0.748302280451284,-1.15355528977872,-8.02934088853543,4.37967632267098,7.642196237637,13.4669949284993,13.1178898950159,工业,3,13,0
2016-04-30,通用设备制造业,-0.517294887556048,-0.933745529128593,-10.7571340273993,2.04777733484864,11.4291835474105,11.7003268742265,12.7133820025538,工业,4,17,0
2016-05-31,通用设备制造业,-0.292567480183195,-0.732412697371254,-12.0392391385688,-0.955349754409762,12.4839835571642,10.19495726159,12.2912346565447,工业,5,22,0
2016-06-30,通用设备制造业,-0.000648218626224661,-0.46916279513145,-12.3495880107876,-3.77644268297482,11.20379658618,9.01084598736473,11.9216156291327,工业,6,26,0
2016-07-31,通用设备制造业,0.618705252534141,0.13768728538599,-12.1059953600816,-5.65542915609539,8.65818792372266,8.04181029673201,11.6656444703746,工业,7,30,0
2016-08-31,通用设备制造业,1.75372299397495,1.28765626666618,-11.8674105906606,-6.15151203145379,5.74959552990091,7.22616888822093,11.5306202686424,工业,8,35,0
2016-09-30,通用设备制造业,3.08156014030867,2.65370289476645,-11.9892206834007,-5.1404435654382,3.62748619213631,6.60720309623238,11.4624436394402,工业,9,39,0
2016-10-31,通用设备制造业,4.31529987255786,3.92034826407668,-12.3538944760658,-2.63455888255607,2.61095372742925,6.23886281579073,11.4028653221588,工业,10,44,0
2016-11-30,通用设备制造业,5.16973123485222,4.77771860591887,-12.880644782274,0.528260427710414,2.75434977812428,6.18674133652611,11.2966642940682,工业,11,48,0
2016-12-31,通用设备制造业,5.56093731849829,5.1469367338701,-13.3172507847844,3.48784118678769,4.76388423567129,6.52951957987793,11.1058752329776,工业,12,52,0
2017-01-31,通用设备制造业,5.65972142851562,5.22953091010714,-13.6805495772246,5.51982785035787,9.03922356190305,7.19330113118739,10.8269074382722,工业,1,5,0
2017-02-28,通用设备制造业,5.78223525447203,5.34027402631843,-13.9941908024475,6.74016060990505,14.5096428028094,7.93812965541576,10.4725080260609,工业,2,9,0
2017-03-31,通用设备制造业,6.18422903965765,5.73769031130726,-14.3008475969915,7.31884285788471,20.0335243664868,8.5540247419147,10.0762680504666,工业,3,13,0
2017-04-30,通用设备制造业,6.7095425851218,6.26723379997398,-14.4633494538716,7.37527965337856,23.8445317322599,8.80244228535911,9.68589459197858,工业,4,17,0
2017-05-31,通用设备制造业,7.08696362590366,6.65362354223404,-14.5298075452278,7.38410439529431,25.4356112270614,8.55924027782823,9.34253528238679,工业,5,22,0
2017-06-30,通用设备制造业,7.23838740987212,6.81324487175068,-14.4598077899898,7.32814271869204,24.2137421506606,7.79332199453754,9.08668795330354,工业,6,26,0
2017-07-31,通用设备制造业,6.93895708249947,6.52312870840606,-14.4241768802788,7.22738200921871,20.6144270110846,6.65449040634928,8.92622269547357,工业,7,31,0
2017-08-31,通用设备制造业,6.26298102308789,5.85584987327508,-14.522869231772,7.18024295267765,16.2387233721586,5.3468113066753,8.84465411929591,工业,8,35,0
2017-09-30,通用设备制造业,5.54003449751815,5.12793509408416,-14.2904002141293,7.04949410580979,13.0619669415402,4.05880559326795,8.81790746564766,工业,9,39,0
